,Unnamed: 0,Cod,Nombre,Descripcion ,Stock,etiquetas
0,0,1,Cethapil loción limpiadora ,"Limpiador líquido, brinda una limpieza profunda sin resecar ni irritar la piel, manteniéndola suave y tersa.",15,86
1,1,2,Crema Pond´s Rejuveness 50 G Tarro,"La crema antiarrugas Pond´s Rejuveness desarrollada con una fórmula avanzada que activa la firmeza y ayuda a reducir la aparición de arrugas de afuera hacia dentro, para una piel firme y joven por fuera.",13,13
2,2,3,Crema anti-edad Cicatricure," Ayuda a reducir y prevenir líneas de expresión, bolsas, arrugas y ojeras gradualmente. ",25,13
3,3,4,La roche Posay Retinol B3 Serum,"Concentrado anti-arrugas que regenera y unifica la textura de la piel, incluso para pieles sensibles.",6,9
4,4,5,Crema Active Repair Institut Esthederm ,Crema Corrección de Arrugas Active Repair reestructura y regenera intensamente la piel a la vez que proporciona luminosidad y brillo duraderos,10,38
5,5,6,Bassa Velvet Sunscreen Face Color Bloq Solar ,"Revolucionario bloqueador solar facial en gel que cuenta con tecnología segunda piel, una capa de protección invisible, con textura aterciopelada, no grasosa, de rápida absorción y excelente esparcibilidad",3,101
6,6,7,Crema La Roche Posay Redermic Hyalu,"Redermic C combina un 5% de Vitamina C pura, un ingrediente activo líder en antienvejecimiento, y la Madecasosida, un ingrediente activo purificado al 95% reconocido por sus propiedades reparadoras de la piel, para intensificar la síntesis de las fibras de relleno y de sostén de la piel",16,96
7,7,8,Crema Avène Physiolift Contorno De Ojos Antiedad Frasco 15 Ml Frasco,Rellena las arrugas y retensa la piel alrededor del contorno de los ojos.,19,9
8,8,9,Crema Eucerin Anti-Manchas 30 Ml Tubo Dual Serum Facial Eucerin anti-pigment,Ayuda a reducir las manchas de pigmentación de la piel,12,13
9,9,10,Protector Solar La Roche Posay Anthelios Anti Pigmentación Spf 50,Protección solar dermatológica enriquecida con Procerad. Muy alta protección. Amplio espectro. Sin perfume. Para rostro y zonas expuestas. Muy alta protección,20,76
10,10,11,Nivea Crema Manos Q10 Anti Age,Crema de manos antiarrugas con Coenzima Q10 y Filtros UV que previene y reduce los primeros signos del envejecimiento dejando las manos suaves y cuidadas.,32,85
11,11,12,Protector Solar Photoderm Max Spf 100 Frasco, La crema fotoprotectora máxima que estimula los sistemas de autodefensa de la piel,18,20
12,12,13,Intensivo Hialurónico Mascarilla Institut Esthederm,"Mascarilla hialurónica intensiva, deshidratación intensa, arrugas, tirantez. Hidrata profundamente; las arrugas y las líneas de deshidratación se suavizan.",10,57
13,13,14,Hydrance Avene Aqua Gel,"Hidrata,calma y detoxifica",21,104
14,14,15,Corrector Pigmentbio,"Textura gel crema ligera y envolvente, de rápida absorción. Brinda 8 horas de hidratación, el pigmentbio c-concentrate elimina las células con altas concentraciones de melanina, reduce la intensidad y tamaño de las marcas existentes y suaviza la textura de la piel dándole intensidad.",25,98
15,15,16,Mascarilla Exfoliante Clarificante Osmoclean Institut Esthederm,"Macarilla clarificante pulidora exfoliante, sin granos. El primer producto que combina el poder limpiador de una rica mascarilla en crema y un exfoliante sin granos con un efecto suave que aclara y unifica el cutis. La piel está purificada, limpia y lista para recibir tratamientos.",5,95
16,16,17,LINEZOLIDA 600 MG CON REV CT BL AL PLAS OPC X 10,Linezolid es un antibiótico del grupo de las oxazolidinonas que actúa impidiendo el crecimiento de determinadas bacterias (gérmenes) que causan infecciones.,12,41
17,17,18,Amoxicilina Normon 500 mg,Amoxicilina Normon es un antibiótico. El principio activo es amoxicilina. Este pertenece a un grupo de medicamentos denominados “penicilinas”.,25,1
18,18,19,ZYVOX 600 MG CON REV CT BL AL PLAS PVC OPC X 10,"Zyvoxid está indicado para el tratamiento de la neumonía nosocomial y de la neumonía adquirida en la comunidad en adultos, cuando se tenga la certeza o se sospeche que estén causadas por bacterias Gram-positivas sensibles a linezolid.",41,41
19,19,20,LYNOZ 2 MG/ML SOL INFUS IV CX 1 ENV X BOLS PLAS TRANS SISTEMA CERRADO X 300 ML,"Antibacteriano, inhibe la síntesis proteica bacteriana por unión al ribosoma y bloqueo de la translación.",32,87
20,20,21,DERMAZINA 10 MG/G CREM VAG CT BG PLAS OPC X 30 G + 6 APLICACIONES,Es un antibiótico del grupo de las sulfamidas y clorhexidina es un desinfectante que potencia la acción antimicrobiana de la sulfadiazina.,21,1
21,21,22,NOVADERM 5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLICACIÓN,Crema vaginal indicada para la cauterización del cuello uterino ,25,16
22,22,23,ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA 5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLICACIÓN,La crema vaginal de acetato de clostebol + sulfato de neomicina está indicada para el tratamiento local después de la cauterización del cuello uterino .,12,16
23,23,24,TEICOPLANINA 200 MG PO LIOF SOL INY IV/IM CX 10 FA VD TRANS X 15 ML,"Teicoplanina es un antibiótico glicopéptido similar a la Vancomicina, pero con acción mas duradera. Puede ser administrada en forma intramuscular como intravenosa",32,68
24,24,25,TYGACIL 50 MG PO LIOF INY CT 10 FA VD INC,Tygacil está indicado en adultos y en niños a partir de ocho años de edad para el tratamiento de las siguientes infecciones ,12,12
25,25,26,UROCTRINA 80 MG + 400 MG + 50 MG CON REV CT BL AL PLAS INC X 20,Sistema genitourinario y hormonas sexuales,65,0
26,26,27,BIO-C 1 G CON EFEV CT TB PLAS X 10,La sustancia del remedio Bio-c es el ÁCIDO ASCÓRBICO ,25,14
27,27,28,REDOXÓN 2 G CON EFEV CT TB PLAST X 10,Es una fórmula de alta potencia que contiene 10 vitaminas y minerales* para ayudar a mantener su sistema inmunológico,35,31
28,28,29,CEBION 2 G CON EFEV EST CT TB PLAS X 10,Antioxidante. Cofactor en numerosos sistemas enzimáticos debido a su potencial redox,12,31
29,29,30,CENEVIT 2 G CON EFEV CT TB PLAS X 10 (SABOR NARANJA),Vitamina C sabor naranja 10 tabletas efervescentes,16,14
30,30,31,VITAMINA C MÉDICA 500 MG CON CT BL AL PLAS LAR X 20,500 mg comprimidos masticables. Ácido Ascórbico (Vitamina C),18,14
31,31,32,Neurobión 200MG,"Comprimido recubierto de Vitamina B1, Vitamina B6 y/o B12 100 mg+200 mg+0.2 mg",54,5
